Código UdeC,Género,Región,Nivel motivación,Puntaje NEM promedio carrera,Duracion promedio carrera (semestres),Total titulaciones (2007-2024)
3310,Masculino,,4,717.8006230529595,11.498381877022654,8281
3310,Masculino,REGION DE LOS LAGOS,1,717.8006230529595,11.498381877022654,8281
3309,Masculino,REGION DEL BIOBIO,3,717.1659751037345,10.331686661961891,49353
3303,Masculino,REGION DEL BIOBIO,2,,8.491441612780525,98371
3311,Masculino,REGION DEL BIOBIO,4,680.7409090909091,11.625,3315
3303,Femenino,REGION DEL MAULE,4,,8.491441612780525,98371
3319,Masculino,REGION DEL BIOBIO,4,662.2603773584906,8.412903225806451,4144
3310,Masculino,REGION DEL BIOBIO,4,717.8006230529595,11.498381877022654,8281
3311,Femenino,REGION DE ÑUBLE,3,680.7409090909091,11.625,3315
3310,Masculino,REGION DEL BIOBIO,3,717.8006230529595,11.498381877022654,8281
3309,Masculino,REGION DEL BIOBIO,5,717.1659751037345,10.331686661961891,49353
3319,Prefiero no decirlo,REGION DE ÑUBLE,4,662.2603773584906,8.412903225806451,4144
3310,Masculino,REGION DEL BIOBIO,2,717.8006230529595,11.498381877022654,8281
3318,Masculino,REGION DEL BIOBIO,4,662.0121457489879,11.746666666666666,2990
3318,Masculino,REGION DEL BIOBIO,3,662.0121457489879,11.746666666666666,2990
3309,Femenino,REGION DEL BIOBIO,4,717.1659751037345,10.331686661961891,49353
3311,Masculino,REGION DEL BIOBIO,5,680.7409090909091,11.625,3315
3310,Masculino,REGION DE LOS LAGOS,4,717.8006230529595,11.498381877022654,8281
3311,Masculino,REGION DEL BIOBIO,3,680.7409090909091,11.625,3315
3309,Masculino,REGION DEL BIOBIO,5,717.1659751037345,10.331686661961891,49353
3319,Masculino,REGION DE ÑUBLE,3,662.2603773584906,8.412903225806451,4144
3309,Masculino,REGION DEL BIOBIO,5,717.1659751037345,10.331686661961891,49353
3310,Masculino,REGION DEL BIOBIO,4,717.8006230529595,11.498381877022654,8281
3318,Femenino,REGION DEL BIOBIO,4,662.0121457489879,11.746666666666666,2990
3310,Masculino,REGION DEL BIOBIO,4,717.8006230529595,11.498381877022654,8281
3311,Masculino,REGION DEL BIOBIO,4,680.7409090909091,11.625,3315
3310,Femenino,REGION DEL BIOBIO,4,717.8006230529595,11.498381877022654,8281
3310,Femenino,REGION DEL BIOBIO,3,717.8006230529595,11.498381877022654,8281
3319,Masculino,REGION DEL BIOBIO,3,662.2603773584906,8.412903225806451,4144
3319,Masculino,REGION DEL BIOBIO,3,662.2603773584906,8.412903225806451,4144
3310,Masculino,REGION DEL BIOBIO,3,717.8006230529595,11.498381877022654,8281
3318,Femenino,,3,662.0121457489879,11.746666666666666,2990
3310,Masculino,REGION DEL BIOBIO,3,717.8006230529595,11.498381877022654,8281
3311,Masculino,REGION DEL BIOBIO,5,680.7409090909091,11.625,3315
3310,Femenino,REGION DEL BIOBIO,3,717.8006230529595,11.498381877022654,8281
3303,Femenino,REGION DEL BIOBIO,4,,8.491441612780525,98371
3311,Masculino,REGION DEL BIOBIO,4,680.7409090909091,11.625,3315
3310,Femenino,REGION DEL BIOBIO,3,717.8006230529595,11.498381877022654,8281
3310,Masculino,REGION DEL BIOBIO,3,717.8006230529595,11.498381877022654,8281
3303,Femenino,,4,,8.491441612780525,98371
3310,Masculino,,4,717.8006230529595,11.498381877022654,8281
3310,Masculino,REGION DE LOS LAGOS,4,717.8006230529595,11.498381877022654,8281
3310,Masculino,REGION DE LOS LAGOS,4,717.8006230529595,11.498381877022654,8281
3311,Masculino,REGION DE LOS LAGOS,5,680.7409090909091,11.625,3315
3303,Femenino,REGION DEL MAULE,3,,8.491441612780525,98371
3310,Masculino,REGION DEL MAULE,4,717.8006230529595,11.498381877022654,8281
3303,Masculino,REGION DEL BIOBIO,3,,8.491441612780525,98371
3318,Masculino,REGION DEL BIOBIO,3,662.0121457489879,11.746666666666666,2990
3318,Masculino,REGION DEL BIOBIO,4,662.0121457489879,11.746666666666666,2990
3318,Masculino,REGION DEL BIOBIO,2,662.0121457489879,11.746666666666666,2990
3309,Masculino,REGION DE ÑUBLE,4,717.1659751037345,10.331686661961891,49353
3310,Masculino,REGION DEL BIOBIO,4,717.8006230529595,11.498381877022654,8281
3319,Masculino,REGION DE ANTOFAGASTA,5,662.2603773584906,8.412903225806451,4144
3303,Femenino,,4,,8.491441612780525,98371
3309,Masculino,REGION DEL BIOBIO,5,717.1659751037345,10.331686661961891,49353
3318,Masculino,REGION DEL BIOBIO,3,662.0121457489879,11.746666666666666,2990
3310,Femenino,REGION DEL BIOBIO,3,717.8006230529595,11.498381877022654,8281
3310,Masculino,REGION DE ANTOFAGASTA,4,717.8006230529595,11.498381877022654,8281
3319,Femenino,REGION DEL BIOBIO,3,662.2603773584906,8.412903225806451,4144
3310,Masculino,REGION DEL BIOBIO,4,717.8006230529595,11.498381877022654,8281
3310,Masculino,REGION DEL BIOBIO,3,717.8006230529595,11.498381877022654,8281
3310,Masculino,REGION DEL BIOBIO,4,717.8006230529595,11.498381877022654,8281
3309,Masculino,REGION DEL BIOBIO,5,717.1659751037345,10.331686661961891,49353
3310,Masculino,REGION DE ÑUBLE,4,717.8006230529595,11.498381877022654,8281
3310,Masculino,REGION DEL BIOBIO,4,717.8006230529595,11.498381877022654,8281
3310,Masculino,REGION DEL BIOBIO,3,717.8006230529595,11.498381877022654,8281
3310,Femenino,REGION DEL BIOBIO,2,717.8006230529595,11.498381877022654,8281
3311,Masculino,REGION DEL BIOBIO,3,680.7409090909091,11.625,3315
3310,Masculino,REGION DEL MAULE,4,717.8006230529595,11.498381877022654,8281
3310,Masculino,REGION DEL BIOBIO,4,717.8006230529595,11.498381877022654,8281
3318,Masculino,REGION DEL BIOBIO,3,662.0121457489879,11.746666666666666,2990
3310,Masculino,REGION DEL BIOBIO,3,717.8006230529595,11.498381877022654,8281
3310,Masculino,REGION DEL MAULE,3,717.8006230529595,11.498381877022654,8281
3310,Masculino,REGION DEL BIOBIO,2,717.8006230529595,11.498381877022654,8281
3303,Femenino,REGION DE LOS LAGOS,3,,8.491441612780525,98371
3310,Masculino,REGION DEL BIOBIO,4,717.8006230529595,11.498381877022654,8281
3311,Masculino,REGION DE LA ARAUCANIA,5,680.7409090909091,11.625,3315
3318,Femenino,REGION DE ÑUBLE,3,662.0121457489879,11.746666666666666,2990
3311,Masculino,REGION DEL BIOBIO,1,680.7409090909091,11.625,3315
3310,Femenino,REGION DEL BIOBIO,3,717.8006230529595,11.498381877022654,8281
3311,Masculino,REGION DE LOS LAGOS,2,680.7409090909091,11.625,3315
3309,Masculino,REGION DE ÑUBLE,4,717.1659751037345,10.331686661961891,49353
3310,Masculino,REGION DE ÑUBLE,4,717.8006230529595,11.498381877022654,8281
3319,Masculino,REGION DEL MAULE,2,662.2603773584906,8.412903225806451,4144
3310,Masculino,REGION DEL BIOBIO,4,717.8006230529595,11.498381877022654,8281
3310,Masculino,REGION DEL BIOBIO,2,717.8006230529595,11.498381877022654,8281
